"embryo","microns_per_frame","microns_per_second","microns_per_minute","stock","zygosity"
"btd-gap2_z3_t55s_E14",7.5,0.136363636363636,8.18181818181818,"btd","homozygote"
"btd-gap2_z3_t55s_E7",7.8,0.141818181818182,8.50909090909091,"btd","homozygote"
"btd-gap2_z3_t55s_E8",10.8,0.196363636363636,11.7818181818182,"btd","heterozygote"
"btd-HisGap_z3_t51s_E11",5.7,0.111764705882353,6.70588235294118,"btd","homozygote"
"btd-HisGap_z3_t51s_E14",8.3,0.162745098039216,9.76470588235294,"btd","heterozygote"
"btd-HisGap_z3_t51s_E4",10,0.196078431372549,11.7647058823529,"btd","heterozygote"
"btd-HisGap_z3_t51s_E7",6.9,0.135294117647059,8.11764705882353,"btd","heterozygote"
"btd-hisgap1_E7",8.5,0.141666666666667,8.5,"btd","heterozygote"
"btd-hisgap1_E8",9.4,0.156666666666667,9.4,"btd","homozygote"
"eve-Gap_1_E13",9.6,0.16,9.6,"eve","homozygote"
"eve-Gap_1_t45s_z3_E1",7.4,0.164444444444444,9.86666666666667,"eve","heterozygote"
"eve-Gap_1_t45s_z3_E11",7.2,0.16,9.6,"eve","homozygote"
"eve-Gap_1_t45s_z3_E4",7.5,0.166666666666667,10,"eve","heterozygote"
"eve-Gap1_t60s_z3_E11",10.2,0.17,10.2,"eve","heterozygote"
"eve-Gap1_t60s_z3_E12",8.4,0.14,8.4,"eve","homozygote"
"eve-Gap1_t60s_z3_E16",11.9,0.198333333333333,11.9,"eve","heterozygote"
"eve-Gap1_t60s_z3_E2",8.6,0.143333333333333,8.6,"eve","homozygote"
"eve-Gap1_t60s_z3_E3",8.8,0.146666666666667,8.8,"eve","homozygote"
"eve-Gap1_t60s_z3_E4",10.9,0.181666666666667,10.9,"eve","heterozygote"
"eve-Gap1_t60s_z3_E5",11.8,0.196666666666667,11.8,"eve","heterozygote"
"eve-Gap1_t60s_z3_E9",9.3,0.155,9.3,"eve","heterozygote"
"prd-Gap_1_t60s_E1",10.1,0.168333333333333,10.1,"prd","heterozygote"
"prd-Gap_1_t60s_E10",11.3,0.188333333333333,11.3,"prd","homozygote"
"prd-Gap_1_t60s_E11",10.7,0.178333333333333,10.7,"prd","heterozygote"
"prd-Gap_1_t60s_E12",11.7,0.195,11.7,"prd","homozygote"
"prd-Gap_1_t60s_E13",12.4,0.206666666666667,12.4,"prd","heterozygote"
"prd-Gap_1_t60s_E15",11,0.183333333333333,11,"prd","heterozygote"
"prd-Gap_1_t60s_E16",11.4,0.19,11.4,"prd","homozygote"
"prd-Gap_1_t60s_E2",9.6,0.16,9.6,"prd","heterozygote"
"prd-Gap_1_t60s_E3",9.3,0.155,9.3,"prd","heterozygote"
"prd-Gap_1_t60s_E4",10.3,0.171666666666667,10.3,"prd","homozygote"
"prd-Gap_1_t60s_E5",9.8,0.163333333333333,9.8,"prd","heterozygote"
"prd-Gap_1_t60s_E6",8.9,0.148333333333333,8.9,"prd","heterozygote"
"prd-Gap_1_t60s_E7",12.5,0.208333333333333,12.5,"prd","heterozygote"
"prd-Gap_1_t60s_E8",11.2,0.186666666666667,11.2,"prd","heterozygote"
"prd-Gap_1_t60s_E9",9,0.15,9,"prd","homozygote"
"Gap,stg[2]_2_z3_t50s_E1",10.8,0.216,12.96,"stg","homozygote"
"Gap,stg[2]_2_z3_t50s_E10",9.2,0.184,11.04,"stg","heterozygote"
"Gap,stg[2]_2_z3_t50s_E11",8.2,0.164,9.84,"stg","homozygote"
"Gap,stg[2]_2_z3_t50s_E12",9.6,0.192,11.52,"stg","homozygote"
"Gap,stg[2]_2_z3_t50s_E13",9.2,0.184,11.04,"stg","heterozygote"
"Gap,stg[2]_2_z3_t50s_E14",10,0.2,12,"stg","heterozygote"
"Gap,stg[2]_2_z3_t50s_E15",9.1,0.182,10.92,"stg","heterozygote"
"Gap,stg[2]_2_z3_t50s_E2",9.9,0.198,11.88,"stg","homozygote"
"Gap,stg[2]_2_z3_t50s_E3",10.3,0.206,12.36,"stg","homozygote"
"Gap,stg[2]_2_z3_t50s_E4",9.6,0.192,11.52,"stg","heterozygote"
"Gap,stg[2]_2_z3_t50s_E7",8.9,0.178,10.68,"stg","heterozygote"
"Gap,stg[2]_2_z3_t50s_E8",9,0.18,10.8,"stg","heterozygote"
"Gap,stg[2]_2_z3_t50s_E9",10,0.2,12,"stg","homozygote"
"Gap,stg[2]_green_1_z3_t52_E1",10.6,0.203846153846154,12.2307692307692,"stg","heterozygote"
"Gap,stg[2]_green_1_z3_t52_E10",11.2,0.215384615384615,12.9230769230769,"stg","heterozygote"
"Gap,stg[2]_green_1_z3_t52_E11",11.3,0.217307692307692,13.0384615384615,"stg","heterozygote"
"Gap,stg[2]_green_1_z3_t52_E12",11.2,0.215384615384615,12.9230769230769,"stg","heterozygote"
"Gap,stg[2]_green_1_z3_t52_E13",10.8,0.207692307692308,12.4615384615385,"stg","heterozygote"
"Gap,stg[2]_green_1_z3_t52_E14",9.7,0.186538461538462,11.1923076923077,"stg","homozygote"
"Gap,stg[2]_green_1_z3_t52_E15",10.9,0.209615384615385,12.5769230769231,"stg","heterozygote"
"Gap,stg[2]_green_1_z3_t52_E16",11.1,0.213461538461538,12.8076923076923,"stg","homozygote"
"Gap,stg[2]_green_1_z3_t52_E2",12.4,0.238461538461538,14.3076923076923,"stg","heterozygote"
"Gap,stg[2]_green_1_z3_t52_E3",11.8,0.226923076923077,13.6153846153846,"stg","heterozygote"
"Gap,stg[2]_green_1_z3_t52_E4",12.4,0.238461538461538,14.3076923076923,"stg","heterozygote"
"Gap,stg[2]_green_1_z3_t52_E5",11.1,0.213461538461538,12.8076923076923,"stg","heterozygote"
"Gap,stg[2]_green_1_z3_t52_E6",11.9,0.228846153846154,13.7307692307692,"stg","heterozygote"
"Gap,stg[2]_green_1_z3_t52_E7",11.1,0.213461538461538,12.8076923076923,"stg","heterozygote"
"Gap,stg[2]_green_1_z3_t52_E8",10.6,0.203846153846154,12.2307692307692,"stg","heterozygote"
"Gap,stg[2]_green_1_z3_t52_E9",10.7,0.205769230769231,12.3461538461538,"stg","heterozygote"
"btd-gap-stg_1_z3_t45s_E12",7.6,0.168888888888889,10.1333333333333,"btd-stg","btd homozygote"
"btd-gap-stg_1_z3_t45s_E3",8.9,0.197777777777778,11.8666666666667,"btd-stg","btd homozygote"
"btd-gap-stg_1_z3_t45s_E8",8.8,0.195555555555556,11.7333333333333,"btd-stg","double heterozygote"
"btd-gap-stg_1_z3_t45s_E9",4.4,0.0977777777777778,5.86666666666667,"btd-stg","double homozygote"
"btd-gap-stg_3_z3_t53s_E11",7.2,0.135849056603774,8.15094339622642,"btd-stg","btd homozygote"
"btd-gap-stg_3_z3_t53s_E12",11.4,0.215094339622642,12.9056603773585,"btd-stg","double heterozygote"
"btd-gap-stg_3_z3_t53s_E13",11.2,0.211320754716981,12.6792452830189,"btd-stg","double heterozygote"
"btd-gap-stg_3_z3_t53s_E14",10.3,0.194339622641509,11.6603773584906,"btd-stg","double heterozygote"
"btd-gap-stg_3_z3_t53s_E2",4.9,0.0924528301886792,5.54716981132075,"btd-stg","btd homozygote"
"btd-gap-stg_3_z3_t53s_E3",10.6,0.2,12,"btd-stg","double heterozygote"
"btd-gap-stg_4_z3_t59s_E1",11.3,0.191525423728814,11.4915254237288,"btd-stg","double heterozygote"
"btd-gap-stg_4_z3_t59s_E10",9.4,0.159322033898305,9.5593220338983,"btd-stg","btd homozygote"
"btd-gap-stg_4_z3_t59s_E11",9.8,0.166101694915254,9.96610169491525,"btd-stg","double heterozygote"
"btd-gap-stg_4_z3_t59s_E13",7.1,0.120338983050847,7.22033898305085,"btd-stg","double heterozygote"
"btd-gap-stg_4_z3_t59s_E14",10.3,0.174576271186441,10.4745762711864,"btd-stg","double heterozygote"
"btd-gap-stg_4_z3_t59s_E16",9.8,0.166101694915254,9.96610169491525,"btd-stg","double heterozygote"
"btd-gap-stg_4_z3_t59s_E3",10.6,0.179661016949153,10.7796610169492,"btd-stg","double heterozygote"
"btd-gap-stg_4_z3_t59s_E4",8.6,0.145762711864407,8.74576271186441,"btd-stg","double heterozygote"
"btd-gap-stg_4_z3_t59s_E6",11.2,0.189830508474576,11.3898305084746,"btd-stg","double heterozygote"
"btd-gap-stg_4_z3_t59s_E7",11.4,0.193220338983051,11.5932203389831,"btd-stg","btd homozygote"
"btd-gap-stg_4_z3_t59s_E8",10.7,0.18135593220339,10.8813559322034,"btd-stg","btd homozygote"
"btd-gap-stg_7_z3_60s_E1",10.5,0.175,10.5,"btd-stg","double homozygote"
"btd-gap-stg_7_z3_60s_E16",12.1,0.201666666666667,12.1,"btd-stg","btd homozygote"
"btd-gap-stg_7_z3_60s_E17",11.7,0.195,11.7,"btd-stg","double heterozygote"
"btd-gap-stg_7_z3_60s_E18",10.7,0.178333333333333,10.7,"btd-stg","btd homozygote"
"btd-gap-stg_7_z3_60s_E19",13.6,0.226666666666667,13.6,"btd-stg","double heterozygote"
"btd-gap-stg_7_z3_60s_E2",12.4,0.206666666666667,12.4,"btd-stg","double heterozygote"
"btd-gap-stg_7_z3_60s_E20",10.6,0.176666666666667,10.6,"btd-stg","btd homozygote"
"btd-gap-stg_7_z3_60s_E3",12.8,0.213333333333333,12.8,"btd-stg","double homozygote"
"btd-gap-stg_7_z3_60s_E5",14,0.233333333333333,14,"btd-stg","double heterozygote"
"btd-gap-stg_7_z3_60s_E6",10,0.166666666666667,10,"btd-stg","btd homozygote"
"btd-gap-stg_8_z3_45s_E3",6.3,0.14,8.4,"btd-stg","btd homozygote"
"btd-gap-stg_8_z3_45s_E8",4.2,0.0933333333333333,5.6,"btd-stg","stg homozygote"
