experiment,dataset,microscope,comment
eve-btd-GAL4xUAS-DNRho1 (het),2024-01-29_btd+eve-GAL4xUAS-DNRho1_1_60s_Pos15,L2,"heterozygote cross, expected 3/16 proportion"
eve-btd-GAL4xUAS-DNRho1 (hom),2024-08-29_L2_eve-btd-split-GAL4-homoz_vs_UAS-DNRho1.III_t3min_1_Pos1,L2,"homozygote cross, expected phenotype in all embryos"
eve-btd-GAL4xUAS-DNRho1 (hom),2024-08-29_L2_eve-btd-split-GAL4-homoz_vs_UAS-DNRho1.III_t3min_1_Pos2,L2,"homozygote cross, expected phenotype in all embryos"
eve-btd-GAL4xUAS-DNRho1 (hom),2024-08-29_L2_eve-btd-split-GAL4-homoz_vs_UAS-DNRho1.III_t3min_1_Pos3,L2,"homozygote cross, expected phenotype in all embryos"
eve-btd-GAL4xUAS-DNRho1 (hom),2024-08-29_L2_eve-btd-split-GAL4-homoz_vs_UAS-DNRho1.III_t3min_1_Pos4,L2,"homozygote cross, expected phenotype in all embryos"
eve-btd-GAL4xUAS-DNRho1 (hom),2024-08-29_L2_eve-btd-split-GAL4-homoz_vs_UAS-DNRho1.III_t3min_1_Pos5,L2,"homozygote cross, expected phenotype in all embryos"
eve-btd-GAL4xUAS-DNRho1 (hom),2024-08-29_L2_eve-btd-split-GAL4-homoz_vs_UAS-DNRho1.III_t3min_1_Pos6,L2,"homozygote cross, expected phenotype in all embryos"
eve-btd-GAL4xUAS-DNRho1 (hom),2024-08-29_L2_eve-btd-split-GAL4-homoz_vs_UAS-DNRho1.III_t3min_1_Pos7,L2,"homozygote cross, expected phenotype in all embryos"
eve-btd-GAL4xUAS-DNRho1 (hom),2024-08-29_L2_eve-btd-split-GAL4-homoz_vs_UAS-DNRho1.III_t3min_1_Pos8,L2,"homozygote cross, expected phenotype in all embryos"
eve-btd-GAL4xUAS-DNRho1 (hom),2024-08-29_L2_eve-btd-split-GAL4-homoz_vs_UAS-DNRho1.III_t3min_1_Pos9,L2,"homozygote cross, expected phenotype in all embryos"
eve-btd-GAL4xUAS-DNRho1 (hom),2024-08-29_L2_eve-btd-split-GAL4-homoz_vs_UAS-DNRho1.III_t3min_1_Pos10,L2,"homozygote cross, expected phenotype in all embryos"
eve-btd-GAL4xUAS-DNRho1 (hom),2024-08-29_L2_eve-btd-split-GAL4-homoz_vs_UAS-DNRho1.III_t3min_1_Pos11,L2,"homozygote cross, expected phenotype in all embryos"
eve-btd-GAL4xUAS-DNRho1 (hom),2024-08-29_L2_eve-btd-split-GAL4-homoz_vs_UAS-DNRho1.III_t3min_1_Pos12,L2,"homozygote cross, expected phenotype in all embryos"
eve-btd-GAL4xUAS-DNRho1 (hom),2024-08-29_L2_eve-btd-split-GAL4-homoz_vs_UAS-DNRho1.III_t3min_1_Pos13,L2,"homozygote cross, expected phenotype in all embryos"
eve-btd-GAL4xUAS-DNRho1 (hom),2024-08-29_L2_eve-btd-split-GAL4-homoz_vs_UAS-DNRho1.III_t3min_1_Pos14,L2,"homozygote cross, expected phenotype in all embryos"
eve-btd-GAL4xUAS-DNRho1 (hom),2024-08-29_L2_eve-btd-split-GAL4-homoz_vs_UAS-DNRho1.III_t3min_1_Pos15,L2,"homozygote cross, expected phenotype in all embryos"
eve-btd-GAL4xUAS-DNRho1 (hom),2024-08-29_L2_eve-btd-split-GAL4-homoz_vs_UAS-DNRho1.III_t3min_1_Pos16,L2,"homozygote cross, expected phenotype in all embryos"
eve-btd-GAL4xUAS-DNRho1 (hom),2024-08-29_L2_eve-btd-split-GAL4-homoz_vs_UAS-DNRho1.III_t3min_1_Pos17,L2,"homozygote cross, expected phenotype in all embryos"
eve-btd-GAL4xUAS-DNRho1 (hom),2024-08-29_L2_eve-btd-split-GAL4-homoz_vs_UAS-DNRho1.III_t3min_1_Pos18,L2,"homozygote cross, expected phenotype in all embryos"
eve-btd-GAL4xUAS-DNRho1 (hom),2024-08-29_L2_eve-btd-split-GAL4-homoz_vs_UAS-DNRho1.III_t3min_1_Pos19,L2,"homozygote cross, expected phenotype in all embryos"
eve-btd-GAL4xUAS-DNRho1 (hom),2024-08-29_L2_eve-btd-split-GAL4-homoz_vs_UAS-DNRho1.III_t3min_1_Pos20,L2,"homozygote cross, expected phenotype in all embryos"
eve-btd-GAL4xUAS-DNRho1 (hom),2024-08-29_L2_eve-btd-split-GAL4-homoz_vs_UAS-DNRho1.III_t3min_1_Pos21,L2,"homozygote cross, expected phenotype in all embryos"
eve-btd-GAL4xUAS-DNRho1 (hom),2024-08-29_L2_eve-btd-split-GAL4-homoz_vs_UAS-DNRho1.III_t3min_1_Pos22,L2,"homozygote cross, expected phenotype in all embryos"
eve-btd-GAL4xUAS-DNRho1 (hom),2024-08-29_L2_eve-btd-split-GAL4-homoz_vs_UAS-DNRho1.III_t3min_1_Pos23,L2,"homozygote cross, expected phenotype in all embryos"
eve-btd-GAL4xUAS-DNRho1 (hom),2024-08-29_L2_eve-btd-split-GAL4-homoz_vs_UAS-DNRho1.III_t3min_1_Pos24,L2,"homozygote cross, expected phenotype in all embryos"
eve-btd-GAL4xUAS-DNRho1 (hom),2024-08-29_L2_eve-btd-split-GAL4-homoz_vs_UAS-DNRho1.III_t3min_1_Pos25,L2,"homozygote cross, expected phenotype in all embryos"
Dfd-btd-GAL4xUAS-DNRho1 (het),2024-01-29_Dfd+eve-GAL4xUAS-DNRho1_1_60s_Pos1,L2,"heterozygote cross, expected 3/16 proportion"
Dfd-btd-GAL4xUAS-DNRho1 (het),2024-01-29_Dfd+eve-GAL4xUAS-DNRho1_1_60s_Pos2,L2,"heterozygote cross, expected 3/16 proportion"
Dfd-btd-GAL4xUAS-DNRho1 (het),2024-01-29_Dfd+eve-GAL4xUAS-DNRho1_1_60s_Pos3,L2,"heterozygote cross, expected 3/16 proportion"
Dfd-btd-GAL4xUAS-DNRho1 (het),2024-01-29_Dfd+eve-GAL4xUAS-DNRho1_1_60s_Pos4,L2,"heterozygote cross, expected 3/16 proportion"
Dfd-btd-GAL4xUAS-DNRho1 (het),2024-01-29_Dfd+eve-GAL4xUAS-DNRho1_1_60s_Pos5,L2,"heterozygote cross, expected 3/16 proportion"
Dfd-btd-GAL4xUAS-DNRho1 (het),2024-01-29_Dfd+eve-GAL4xUAS-DNRho1_1_60s_Pos6,L2,"heterozygote cross, expected 3/16 proportion"
Dfd-btd-GAL4xUAS-DNRho1 (het),2024-01-29_Dfd+eve-GAL4xUAS-DNRho1_1_60s_Pos7,L2,"heterozygote cross, expected 3/16 proportion"
Dfd-btd-GAL4xUAS-DNRho1 (het),2024-01-29_Dfd+eve-GAL4xUAS-DNRho1_1_60s_Pos8,L2,"heterozygote cross, expected 3/16 proportion"
Dfd-btd-GAL4xUAS-DNRho1 (het),2024-01-29_Dfd+eve-GAL4xUAS-DNRho1_1_60s_Pos9,L2,"heterozygote cross, expected 3/16 proportion"
Dfd-btd-GAL4xUAS-DNRho1 (het),2024-01-29_Dfd+eve-GAL4xUAS-DNRho1_1_60s_Pos10,L2,"heterozygote cross, expected 3/16 proportion"
Dfd-btd-GAL4xUAS-DNRho1 (het),2024-01-29_Dfd+eve-GAL4xUAS-DNRho1_1_60s_Pos11,L2,"heterozygote cross, expected 3/16 proportion"
Dfd-btd-GAL4xUAS-DNRho1 (het),2024-01-29_Dfd+eve-GAL4xUAS-DNRho1_1_60s_Pos12,L2,"heterozygote cross, expected 3/16 proportion"
Dfd-btd-GAL4xUAS-DNRho1 (het),2024-01-29_Dfd+eve-GAL4xUAS-DNRho1_1_60s_Pos13,L2,"heterozygote cross, expected 3/16 proportion"
Dfd-btd-GAL4xUAS-DNRho1 (het),2024-01-29_Dfd+eve-GAL4xUAS-DNRho1_1_60s_Pos14,L2,"heterozygote cross, expected 3/16 proportion"
Dfd-btd-GAL4xUAS-DNRho1 (het),2024-01-29_Dfd+eve-GAL4xUAS-DNRho1_1_60s_Pos15,L2,"heterozygote cross, expected 3/16 proportion"
Dfd-btd-GAL4xUAS-DNRho1 (het),2024-01-29_Dfd+eve-GAL4xUAS-DNRho1_1_60s_Pos16,L2,"heterozygote cross, expected 3/16 proportion"
Dfd-btd-GAL4xUAS-DNRho1 (het),2024-01-29_Dfd+eve-GAL4xUAS-DNRho1_1_60s_Pos17,L2,"heterozygote cross, expected 3/16 proportion"
Dfd-btd-GAL4xUAS-DNRho1 (het),2024-01-29_Dfd+eve-GAL4xUAS-DNRho1_1_60s_Pos18,L2,"heterozygote cross, expected 3/16 proportion"
Dfd-btd-GAL4xUAS-DNRho1 (het),2024-01-29_Dfd+eve-GAL4xUAS-DNRho1_1_60s_Pos19,L2,"heterozygote cross, expected 3/16 proportion"
Dfd-btd-GAL4xUAS-DNRho1 (het),2024-01-29_Dfd+eve-GAL4xUAS-DNRho1_1_60s_Pos20,L2,"heterozygote cross, expected 3/16 proportion"
