Embryo,Label,Stock,Genotype,View,Side,Fold,Position,Type,Comment
btd-gap_dorsal_1_z1.5_t51s_E15,btd-gap_dorsal_1_z1.5_t51s_E15_R_1,btd,heterozygote,dorsal,right,TRUE,mid,CF,
btd-gap_dorsal_1_z1.5_t51s_E15,btd-gap_dorsal_1_z1.5_t51s_E15_L_1,btd,heterozygote,dorsal,left,TRUE,mid,CF,
btd-gap_dorsal_1_z3_t45s_E1,btd-gap_dorsal_1_z3_t45s_E1_R_1,btd,heterozygote,dorsal,right,TRUE,mid,CF,
btd-gap_dorsal_1_z3_t45s_E1,btd-gap_dorsal_1_z3_t45s_E1_L_1,btd,heterozygote,dorsal,left,TRUE,mid,CF,
btd-gap_dorsal_1_z3_t45s_E2,btd-gap_dorsal_1_z3_t45s_E2_R_1,btd,heterozygote,dorsal,right,TRUE,mid,CF,
btd-gap_dorsal_1_z3_t45s_E2,btd-gap_dorsal_1_z3_t45s_E2_L_1,btd,heterozygote,dorsal,left,TRUE,mid,CF,
btd-gap_dorsal_1_z3_t45s_E3,btd-gap_dorsal_1_z3_t45s_E3_R_1,btd,heterozygote,dorsal,right,TRUE,mid,CF,
btd-gap_dorsal_1_z3_t45s_E3,btd-gap_dorsal_1_z3_t45s_E3_L_1,btd,heterozygote,dorsal,left,TRUE,mid,CF,
btd-gap_dorsal_1_z3_t45s_E4,btd-gap_dorsal_1_z3_t45s_E4_R_1,btd,homozygote,dorsal,right,TRUE,mid,EF,
btd-gap_dorsal_1_z3_t45s_E4,btd-gap_dorsal_1_z3_t45s_E4_L_1,btd,homozygote,dorsal,left,TRUE,ant,EF,
btd-gap_dorsal_1_z3_t45s_E4,btd-gap_dorsal_1_z3_t45s_E4_L_2,btd,homozygote,dorsal,left,TRUE,mid,EF,
btd-gap_dorsal_1_z3_t45s_E4,btd-gap_dorsal_1_z3_t45s_E4_L_3,btd,homozygote,dorsal,left,TRUE,post,EF,
btd-gap_dorsal_1_z3_t45s_E5,btd-gap_dorsal_1_z3_t45s_E5_R_1,btd,homozygote,dorsal,right,TRUE,ant,EF,
btd-gap_dorsal_1_z3_t45s_E5,btd-gap_dorsal_1_z3_t45s_E5_R_2,btd,homozygote,dorsal,right,TRUE,post,EF,
btd-gap_dorsal_1_z3_t45s_E5,btd-gap_dorsal_1_z3_t45s_E5_L_1,btd,homozygote,dorsal,left,TRUE,ant,EF,
btd-gap_dorsal_1_z3_t45s_E5,btd-gap_dorsal_1_z3_t45s_E5_L_2,btd,homozygote,dorsal,left,TRUE,mid,EF,
btd-gap_dorsal_1_z3_t45s_E6,btd-gap_dorsal_1_z3_t45s_E6_R_1,btd,heterozygote,dorsal,right,TRUE,mid,CF,
btd-gap_dorsal_1_z3_t45s_E6,btd-gap_dorsal_1_z3_t45s_E6_R_2,btd,heterozygote,dorsal,right,TRUE,post,EF,
btd-gap_dorsal_1_z3_t45s_E6,btd-gap_dorsal_1_z3_t45s_E6_L_1,btd,heterozygote,dorsal,left,TRUE,mid,CF,
btd-gap_dorsal_1_z3_t45s_E7,btd-gap_dorsal_1_z3_t45s_E7_R_1,btd,heterozygote,dorsal,right,TRUE,mid,CF,
btd-gap_dorsal_1_z3_t45s_E7,btd-gap_dorsal_1_z3_t45s_E7_L_1,btd,heterozygote,dorsal,left,TRUE,mid,CF,
btd-gap_dorsal_1_z3_t45s_E8,btd-gap_dorsal_1_z3_t45s_E8_R_1,btd,heterozygote,dorsal,right,TRUE,mid,CF,
btd-gap_dorsal_1_z3_t45s_E8,btd-gap_dorsal_1_z3_t45s_E8_R_2,btd,heterozygote,dorsal,right,TRUE,post,EF,
btd-gap_dorsal_1_z3_t45s_E8,btd-gap_dorsal_1_z3_t45s_E8_L_1,btd,heterozygote,dorsal,left,TRUE,mid,CF,
btd-gap_dorsal_1_z3_t45s_E10,btd-gap_dorsal_1_z3_t45s_E10_R_1,btd,heterozygote,dorsal,right,TRUE,mid,CF,
btd-gap_dorsal_1_z3_t45s_E10,btd-gap_dorsal_1_z3_t45s_E10_L_1,btd,heterozygote,dorsal,left,TRUE,mid,CF,
btd-gap_dorsal_1_z3_t45s_E12,btd-gap_dorsal_1_z3_t45s_E12_R_1,btd,heterozygote,dorsal,right,TRUE,mid,CF,
btd-gap_dorsal_1_z3_t45s_E12,btd-gap_dorsal_1_z3_t45s_E12_R_2,btd,heterozygote,dorsal,right,TRUE,post,EF,
btd-gap_dorsal_1_z3_t45s_E12,btd-gap_dorsal_1_z3_t45s_E12_L_1,btd,heterozygote,dorsal,left,TRUE,mid,CF,
btd-gap_dorsal_1_z3_t45s_E13,btd-gap_dorsal_1_z3_t45s_E13_R_1,btd,heterozygote,dorsal,right,TRUE,mid,CF,
btd-gap_dorsal_1_z3_t45s_E13,btd-gap_dorsal_1_z3_t45s_E13_L_1,btd,heterozygote,dorsal,left,TRUE,mid,CF,
btd-gap_dorsal_1_z3_t45s_E13,btd-gap_dorsal_1_z3_t45s_E13_L_2,btd,heterozygote,dorsal,left,TRUE,post,EF,
btd-gap_dorsal_1_z3_t45s_E14,btd-gap_dorsal_1_z3_t45s_E14_R_1,btd,homozygote,dorsal,right,TRUE,mid,EF,
btd-gap_dorsal_1_z3_t45s_E14,btd-gap_dorsal_1_z3_t45s_E14_L_1,btd,homozygote,dorsal,left,TRUE,ant,EF,
btd-gap_dorsal_1_z3_t45s_E14,btd-gap_dorsal_1_z3_t45s_E14_L_2,btd,homozygote,dorsal,left,TRUE,mid,EF,
btd-gap_dorsal_1_z3_t45s_E15,,btd,heterozygote,dorsal,right,TRUE,mid,CF,Embryo orientation bad for measuring
btd-gap_dorsal_1_z3_t45s_E15,,btd,heterozygote,dorsal,left,TRUE,mid,CF,
prd-gap_dorsal_1_z3_t41s_E3,,prd,heterozygote,dorsal,right,TRUE,mid,CF,
prd-gap_dorsal_1_z3_t41s_E3,,prd,heterozygote,dorsal,left,TRUE,mid,CF,
prd-gap_dorsal_1_z3_t41s_E3,,prd,heterozygote,dorsal,left,TRUE,post,EF,
prd-gap_dorsal_1_z3_t41s_E4,,prd,homozygote,dorsal,right,TRUE,mid,CF,
prd-gap_dorsal_1_z3_t41s_E4,,prd,homozygote,dorsal,left,TRUE,mid,CF,
prd-gap_dorsal_1_z3_t41s_E5,,prd,homozygote,dorsal,right,TRUE,mid,EF,IC failed to shorten
prd-gap_dorsal_1_z3_t41s_E5,,prd,homozygote,dorsal,right,TRUE,post,EF,
prd-gap_dorsal_1_z3_t41s_E5,,prd,homozygote,dorsal,left,TRUE,mid,EF,
prd-gap_dorsal_1_z3_t41s_E5,,prd,homozygote,dorsal,left,TRUE,post,EF,
prd-gap_dorsal_1_z3_t41s_E6,,prd,homozygote,dorsal,right,TRUE,mid,CF,
prd-gap_dorsal_1_z3_t41s_E6,,prd,homozygote,dorsal,left,TRUE,mid,CF,
prd-gap_dorsal_1_z3_t41s_E6,,prd,homozygote,dorsal,left,TRUE,post,EF,
prd-gap_dorsal_1_z3_t41s_E7,,prd,homozygote,dorsal,right,TRUE,mid,CF,
prd-gap_dorsal_1_z3_t41s_E7,,prd,homozygote,dorsal,left,TRUE,mid,CF,
prd-gap_dorsal_1_z3_t41s_E9,,prd,heterozygote,dorsal,right,TRUE,mid,CF,
prd-gap_dorsal_1_z3_t41s_E9,,prd,heterozygote,dorsal,left,TRUE,mid,CF,
prd-gap_dorsal_1_z3_t41s_E10,,prd,heterozygote,dorsal,right,TRUE,mid,CF,
prd-gap_dorsal_1_z3_t41s_E10,,prd,heterozygote,dorsal,left,TRUE,mid,CF,
prd-gap_dorsal_1_z3_t41s_E12,,prd,heterozygote,dorsal,right,TRUE,mid,CF,
prd-gap_dorsal_1_z3_t41s_E12,,prd,heterozygote,dorsal,left,TRUE,mid,CF,
prd-gap_dorsal_1_z3_t41s_E13,,prd,heterozygote,dorsal,right,TRUE,mid,CF,
prd-gap_dorsal_1_z3_t41s_E13,,prd,heterozygote,dorsal,left,TRUE,mid,CF,
prd-gap_dorsal_1_z3_t41s_E14,,prd,homozygote,dorsal,right,TRUE,mid,CF,
prd-gap_dorsal_1_z3_t41s_E14,,prd,homozygote,dorsal,left,TRUE,mid,CF,
prd-gap_dorsal_1_z3_t41s_E15,,prd,heterozygote,dorsal,right,TRUE,mid,CF,
prd-gap_dorsal_1_z3_t41s_E15,,prd,heterozygote,dorsal,left,TRUE,mid,CF,
prd-gap_1_z3_t52s_E1,,prd,heterozygote,dorsal,right,TRUE,mid,CF,
prd-gap_1_z3_t52s_E1,,prd,heterozygote,dorsal,left,TRUE,mid,CF,
prd-gap_1_z3_t52s_E4,,prd,heterozygote,dorsal,right,TRUE,mid,CF,Bad orientation
prd-gap_1_z3_t52s_E4,,prd,heterozygote,dorsal,left,TRUE,mid,CF,
prd-gap_1_z3_t52s_E5,,prd,heterozygote,dorsal,right,TRUE,mid,CF,
prd-gap_1_z3_t52s_E5,,prd,heterozygote,dorsal,left,TRUE,mid,CF,
prd-gap_1_z3_t52s_E8,,prd,heterozygote,dorsal,right,TRUE,mid,CF,
prd-gap_1_z3_t52s_E8,,prd,heterozygote,dorsal,left,TRUE,mid,CF,
prd-gap_1_z3_t52s_E9,,prd,heterozygote,dorsal,right,TRUE,mid,CF,
prd-gap_1_z3_t52s_E9,,prd,heterozygote,dorsal,left,TRUE,mid,CF,
prd-gap_1_z3_t52s_E10,,prd,heterozygote,dorsal,right,TRUE,mid,CF,
prd-gap_1_z3_t52s_E10,,prd,heterozygote,dorsal,left,TRUE,mid,CF,
prd-gap_1_z3_t52s_E11,,prd,homozygote,dorsal,right,TRUE,mid,EF,IC failed to shorten
prd-gap_1_z3_t52s_E11,,prd,homozygote,dorsal,left,TRUE,mid,EF,IC failed to shorten
prd-gap_1_z3_t52s_E11,,prd,homozygote,dorsal,left,TRUE,post,EF,
prd-gap_1_z3_t52s_E12,,prd,homozygote,dorsal,right,TRUE,ant,EF,
prd-gap_1_z3_t52s_E12,,prd,homozygote,dorsal,right,TRUE,mid,CF,
prd-gap_1_z3_t52s_E12,,prd,homozygote,dorsal,right,TRUE,post,EF,
prd-gap_1_z3_t52s_E12,,prd,homozygote,dorsal,left,TRUE,ant,EF,
prd-gap_1_z3_t52s_E12,,prd,homozygote,dorsal,left,TRUE,mid,EF,IC failed to shorten
prd-gap_1_z3_t52s_E12,,prd,homozygote,dorsal,left,TRUE,post,EF,
prd-gap_1_z3_t52s_E13,,prd,heterozygote,dorsal,right,TRUE,mid,CF,
prd-gap_1_z3_t52s_E13,,prd,heterozygote,dorsal,left,TRUE,mid,CF,
prd-gap_1_z3_t52s_E13,,prd,heterozygote,dorsal,left,TRUE,post,EF,
prd-gap_1_z3_t52s_E14,,prd,heterozygote,dorsal,right,TRUE,mid,CF,
prd-gap_1_z3_t52s_E14,,prd,heterozygote,dorsal,left,TRUE,mid,CF,
prd-gap_1_z3_t52s_E15,,prd,heterozygote,dorsal,right,TRUE,mid,CF,
prd-gap_1_z3_t52s_E15,,prd,heterozygote,dorsal,left,TRUE,mid,CF,
prd-gap_1_z3_t52s_E16,,prd,homozygote,dorsal,right,TRUE,mid,EF,IC failed to shorten
prd-gap_1_z3_t52s_E16,,prd,homozygote,dorsal,right,TRUE,post,EF,
prd-gap_1_z3_t52s_E16,,prd,homozygote,dorsal,left,TRUE,mid,EF,
prd-gap_1_z3_t52s_E17,,prd,homozygote,dorsal,right,TRUE,mid,CF,
prd-gap_1_z3_t52s_E17,,prd,homozygote,dorsal,left,TRUE,mid,CF,
prd-gap_1_z3_t52s_E18,,prd,heterozygote,dorsal,right,TRUE,mid,CF,
prd-gap_1_z3_t52s_E18,,prd,heterozygote,dorsal,left,TRUE,mid,CF,
prd-gap_1_z3_t52s_E19,,prd,heterozygote,dorsal,right,TRUE,mid,CF,
prd-gap_1_z3_t52s_E19,,prd,heterozygote,dorsal,left,TRUE,mid,CF,
eve-gap_dorsal_1_z3_t52s_E1,eve-gap_dorsal_1_z3_t52s_E1_R_1,eve,heterozygote,dorsal,right,TRUE,mid,CF,
eve-gap_dorsal_1_z3_t52s_E1,eve-gap_dorsal_1_z3_t52s_E1_L_1,eve,heterozygote,dorsal,left,TRUE,mid,CF,
eve-gap_dorsal_1_z3_t52s_E2,eve-gap_dorsal_1_z3_t52s_E2_R_1,eve,heterozygote,dorsal,right,TRUE,mid,CF,
eve-gap_dorsal_1_z3_t52s_E2,eve-gap_dorsal_1_z3_t52s_E2_L_1,eve,heterozygote,dorsal,left,TRUE,mid,CF,
eve-gap_dorsal_1_z3_t52s_E4,eve-gap_dorsal_1_z3_t52s_E4_R_1,eve,heterozygote,dorsal,right,TRUE,mid,CF,
eve-gap_dorsal_1_z3_t52s_E4,eve-gap_dorsal_1_z3_t52s_E4_L_1,eve,heterozygote,dorsal,left,TRUE,mid,CF,
eve-gap_dorsal_1_z3_t52s_E8,eve-gap_dorsal_1_z3_t52s_E8_R_1,eve,heterozygote,dorsal,right,TRUE,ant,EF,
eve-gap_dorsal_1_z3_t52s_E8,eve-gap_dorsal_1_z3_t52s_E8_R_2,eve,heterozygote,dorsal,right,TRUE,mid,CF,
eve-gap_dorsal_1_z3_t52s_E8,eve-gap_dorsal_1_z3_t52s_E8_L_1,eve,heterozygote,dorsal,left,TRUE,mid,CF,
eve-gap_dorsal_1_z3_t52s_E9,eve-gap_dorsal_1_z3_t52s_E9_R_1,eve,homozygote,dorsal,right,TRUE,ant,EF,
eve-gap_dorsal_1_z3_t52s_E9,eve-gap_dorsal_1_z3_t52s_E9_R_2,eve,homozygote,dorsal,right,TRUE,mid,EF,
eve-gap_dorsal_1_z3_t52s_E9,eve-gap_dorsal_1_z3_t52s_E9_R_3,eve,homozygote,dorsal,right,TRUE,post,EF,
eve-gap_dorsal_1_z3_t52s_E9,eve-gap_dorsal_1_z3_t52s_E9_L_1,eve,homozygote,dorsal,left,TRUE,ant,EF,
eve-gap_dorsal_1_z3_t52s_E9,eve-gap_dorsal_1_z3_t52s_E9_L_2,eve,homozygote,dorsal,left,TRUE,ant,EF,
eve-gap_dorsal_1_z3_t52s_E9,eve-gap_dorsal_1_z3_t52s_E9_L_3,eve,homozygote,dorsal,left,TRUE,mid,EF,
eve-gap_dorsal_1_z3_t52s_E10,eve-gap_dorsal_1_z3_t52s_E10_R_1,eve,heterozygote,dorsal,right,TRUE,mid,CF,
eve-gap_dorsal_1_z3_t52s_E10,eve-gap_dorsal_1_z3_t52s_E10_L_1,eve,heterozygote,dorsal,left,TRUE,mid,CF,
eve-gap_dorsal_1_z3_t52s_E11,eve-gap_dorsal_1_z3_t52s_E11_R_1,eve,heterozygote,dorsal,right,TRUE,mid,CF,
eve-gap_dorsal_1_z3_t52s_E11,eve-gap_dorsal_1_z3_t52s_E11_L_1,eve,heterozygote,dorsal,left,TRUE,mid,CF,
eve-gap_dorsal_1_z3_t52s_E12,eve-gap_dorsal_1_z3_t52s_E12_R_1,eve,heterozygote,dorsal,right,TRUE,mid,CF,
eve-gap_dorsal_1_z3_t52s_E12,eve-gap_dorsal_1_z3_t52s_E12_L_1,eve,heterozygote,dorsal,left,TRUE,mid,CF,
eve-gap_dorsal_1_z3_t52s_E13,,eve,homozygote,dorsal,right,TRUE,mid,EF,Embryo orientation bad for measuring
eve-gap_dorsal_1_z3_t52s_E13,,eve,homozygote,dorsal,right,TRUE,post,EF,
eve-gap_dorsal_1_z3_t52s_E13,,eve,homozygote,dorsal,left,TRUE,mid,EF,
eve-gap_dorsal_1_z3_t52s_E15,,eve,heterozygote,dorsal,right,TRUE,mid,CF,Embryo orientation bad for measuring
eve-gap_dorsal_1_z3_t52s_E15,,eve,heterozygote,dorsal,left,TRUE,mid,CF,
eve-gap_dorsal_1_z3_t52s_E17,eve-gap_dorsal_1_z3_t52s_E17_R_1,eve,heterozygote,dorsal,right,TRUE,mid,CF,
eve-gap_dorsal_1_z3_t52s_E17,eve-gap_dorsal_1_z3_t52s_E17_R_2,eve,heterozygote,dorsal,right,TRUE,post,EF,
eve-gap_dorsal_1_z3_t52s_E17,eve-gap_dorsal_1_z3_t52s_E17_L_1,eve,heterozygote,dorsal,left,TRUE,mid,CF,
eve-gap_dorsal_1_z3_t52s_E19,eve-gap_dorsal_1_z3_t52s_E19_R_1,eve,homozygote,dorsal,right,TRUE,mid,EF,
eve-gap_dorsal_1_z3_t52s_E19,eve-gap_dorsal_1_z3_t52s_E19_L_1,eve,homozygote,dorsal,left,TRUE,ant,EF,
eve-gap_dorsal_2_z3_t53s_E2,eve-gap_dorsal_2_z3_t53s_E2_R_1,eve,heterozygote,dorsal,right,TRUE,mid,CF,
eve-gap_dorsal_2_z3_t53s_E2,eve-gap_dorsal_2_z3_t53s_E2_L_1,eve,heterozygote,dorsal,left,TRUE,mid,CF,
eve-gap_dorsal_2_z3_t53s_E3,eve-gap_dorsal_2_z3_t53s_E3_R_1,eve,heterozygote,dorsal,right,TRUE,mid,CF,
eve-gap_dorsal_2_z3_t53s_E3,eve-gap_dorsal_2_z3_t53s_E3_L_1,eve,heterozygote,dorsal,left,TRUE,mid,CF,
eve-gap_dorsal_2_z3_t53s_E4,eve-gap_dorsal_2_z3_t53s_E4_R_1,eve,homozygote,dorsal,right,TRUE,mid,EF,
eve-gap_dorsal_2_z3_t53s_E4,eve-gap_dorsal_2_z3_t53s_E4_R_2,eve,homozygote,dorsal,right,TRUE,post,EF,
eve-gap_dorsal_2_z3_t53s_E4,eve-gap_dorsal_2_z3_t53s_E4_L_1,eve,homozygote,dorsal,left,TRUE,post,EF,
eve-gap_dorsal_2_z3_t53s_E5,eve-gap_dorsal_2_z3_t53s_E5_R_1,eve,heterozygote,dorsal,right,TRUE,mid,CF,
eve-gap_dorsal_2_z3_t53s_E5,eve-gap_dorsal_2_z3_t53s_E5_L_1,eve,heterozygote,dorsal,left,TRUE,mid,CF,
eve-gap_dorsal_2_z3_t53s_E9,,eve,heterozygote,dorsal,right,TRUE,mid,CF,Embryo orientation bad for measuring
eve-gap_dorsal_2_z3_t53s_E9,,eve,heterozygote,dorsal,left,TRUE,mid,CF,
eve-gap_dorsal_2_z3_t53s_E11,eve-gap_dorsal_2_z3_t53s_E11_R_1,eve,heterozygote,dorsal,right,TRUE,mid,CF,TODO: Re-run to get values
eve-gap_dorsal_2_z3_t53s_E11,eve-gap_dorsal_2_z3_t53s_E11_R_2,eve,heterozygote,dorsal,right,TRUE,post,EF,
eve-gap_dorsal_2_z3_t53s_E11,eve-gap_dorsal_2_z3_t53s_E11_L_1,eve,heterozygote,dorsal,left,TRUE,mid,CF,
eve-gap_dorsal_2_z3_t53s_E11,eve-gap_dorsal_2_z3_t53s_E11_L_2,eve,heterozygote,dorsal,left,TRUE,post,EF,
eve-gap_dorsal_2_z3_t53s_E12,eve-gap_dorsal_2_z3_t53s_E12_R_1,eve,heterozygote,dorsal,right,TRUE,mid,CF,
eve-gap_dorsal_2_z3_t53s_E12,eve-gap_dorsal_2_z3_t53s_E12_L_1,eve,heterozygote,dorsal,left,TRUE,mid,CF,
eve-gap_dorsal_2_z3_t53s_E13,eve-gap_dorsal_2_z3_t53s_E13_R_1,eve,heterozygote,dorsal,right,TRUE,mid,CF,
eve-gap_dorsal_2_z3_t53s_E13,eve-gap_dorsal_2_z3_t53s_E13_L_1,eve,heterozygote,dorsal,left,TRUE,mid,CF,
eve-gap_dorsal_2_z3_t53s_E14,eve-gap_dorsal_2_z3_t53s_E14_R_1,eve,homozygote,dorsal,right,TRUE,ant,EF,
eve-gap_dorsal_2_z3_t53s_E14,eve-gap_dorsal_2_z3_t53s_E14_R_2,eve,homozygote,dorsal,right,TRUE,post,EF,
