"Embryo","Stock","Genotype","Type","Length.count","Length.sum","Length.mean","Length.sd"
"btd-gap_dorsal_1_z3_t45s_E6","btd","heterozygote","EF",1,35.8,35.8,NA
"btd-gap_dorsal_1_z3_t45s_E8","btd","heterozygote","EF",1,29.6,29.6,NA
"btd-gap_dorsal1_z3_t51s_E5","btd","heterozygote","EF",1,30.9,30.9,NA
"btd-gap_dorsal_1_z1.5_t51s_E10","btd","homozygote","EF",4,214.1,53.525,11.4526197876294
"btd-gap_dorsal_1_z1.5_t51s_E2","btd","homozygote","EF",5,248.1,49.62,15.6285635936256
"btd-gap_dorsal_1_z1.5_t51s_E6","btd","homozygote","EF",4,211.1,52.775,15.8640841735874
"btd-gap_dorsal_1_z3_t45s_E14","btd","homozygote","EF",3,163.1,54.3666666666667,14.1810906961818
"btd-gap_dorsal_1_z3_t45s_E4","btd","homozygote","EF",4,225.3,56.325,5.54519311355941
"btd-gap_dorsal_1_z3_t45s_E5","btd","homozygote","EF",4,225.1,56.275,17.2768390241579
"btd-gap_dorsal1_z3_t51s_E12","btd","homozygote","EF",4,182.4,45.6,5.79194843439293
"eve-gap_dorsal_1_z3_t52s_E1","eve","heterozygote","CF",2,125.1,62.55,4.73761543394987
"eve-gap_dorsal_1_z3_t52s_E10","eve","heterozygote","CF",2,135.3,67.65,12.3743686707646
"eve-gap_dorsal_1_z3_t52s_E11","eve","heterozygote","CF",2,111.3,55.65,9.26309883354377
"eve-gap_dorsal_1_z3_t52s_E12","eve","heterozygote","CF",2,115.1,57.55,6.85893577750951
"eve-gap_dorsal_1_z3_t52s_E17","eve","heterozygote","CF",2,101.6,50.8,10.1823376490863
"eve-gap_dorsal_1_z3_t52s_E2","eve","heterozygote","CF",2,120.8,60.4,0.707106781186548
"eve-gap_dorsal_1_z3_t52s_E4","eve","heterozygote","CF",2,120.4,60.2,8.9095454429505
"eve-gap_dorsal_1_z3_t52s_E8","eve","heterozygote","CF",2,109.2,54.6,6.22253967444162
"eve-gap_dorsal_2_z3_t53s_E11","eve","heterozygote","CF",2,119,59.5,1.13137084989847
"eve-gap_dorsal_2_z3_t53s_E12","eve","heterozygote","CF",2,130.7,65.35,3.88908729652601
"eve-gap_dorsal_2_z3_t53s_E13","eve","heterozygote","CF",2,108.5,54.25,6.15182899632297
"eve-gap_dorsal_2_z3_t53s_E15","eve","heterozygote","CF",2,104.4,52.2,0.42426406871193
"eve-gap_dorsal_2_z3_t53s_E17","eve","heterozygote","CF",2,106.8,53.4,3.67695526217005
"eve-gap_dorsal_2_z3_t53s_E19","eve","heterozygote","CF",2,112.9,56.45,1.62634559672906
"eve-gap_dorsal_2_z3_t53s_E2","eve","heterozygote","CF",2,121.1,60.55,1.34350288425444
"eve-gap_dorsal_2_z3_t53s_E3","eve","heterozygote","CF",2,130.1,65.05,0.353553390593274
"eve-gap_dorsal_2_z3_t53s_E5","eve","heterozygote","CF",2,135,67.5,5.09116882454314
"eve-gap_dorsal_1_z3_t52s_E17","eve","heterozygote","EF",1,36.6,36.6,NA
"eve-gap_dorsal_1_z3_t52s_E8","eve","heterozygote","EF",1,36.8,36.8,NA
"eve-gap_dorsal_2_z3_t53s_E11","eve","heterozygote","EF",2,70.9,35.45,7.56604255869606
"eve-gap_dorsal_1_z3_t52s_E19","eve","homozygote","EF",2,72.3,36.15,11.2429978208661
"eve-gap_dorsal_1_z3_t52s_E9","eve","homozygote","EF",6,273.2,45.5333333333333,15.0538588629848
"eve-gap_dorsal_2_z3_t53s_E14","eve","homozygote","EF",4,176,44,11.7357005187874
"eve-gap_dorsal_2_z3_t53s_E4","eve","homozygote","EF",3,110.5,36.8333333333333,1.87705443004015
