Embryo,Label,Stock,Genotype,View,Side,Fold,Position,Type,Comment
prd-Gap_1_t60s_E10,prd-Gap_1_t60s_E10_CARE_s24_0x224_w1706_h998_flipv_f43-112.2.roi,prd,homozygote,lateral,left,TRUE,mid,CF,"There’s a posterior fold, but forming before mitotic domains, dorsal fold"
prd-Gap_1_t60s_E11,prd-Gap_1_t60s_E11_CARE_s24_0x0_w1732_h1000_flipn_f30-99.1.roi,prd,heterozygote,lateral,left,TRUE,ant,EF,
prd-Gap_1_t60s_E11,prd-Gap_1_t60s_E11_CARE_s24_0x0_w1732_h1000_flipn_f30-99.2.roi,prd,heterozygote,lateral,left,TRUE,mid,CF,
prd-Gap_1_t60s_E11,prd-Gap_1_t60s_E11_CARE_s24_0x0_w1732_h1000_flipn_f30-99.3.roi,prd,heterozygote,lateral,left,TRUE,post,EF,"Checked. This is an EF next to MD6, included new ROI"
prd-Gap_1_t60s_E12,prd-Gap_1_t60s_E12_CARE_s20_0x0_w1709_h978_fliph_f47-116.1.roi,prd,homozygote,lateral,left,TRUE,ant,EF,Checked. This is a proper EF
prd-Gap_1_t60s_E12,prd-Gap_1_t60s_E12_CARE_s20_0x0_w1709_h978_fliph_f47-116.2.roi,prd,homozygote,lateral,left,TRUE,mid,EF,At CF position but no IC
prd-Gap_1_t60s_E15,prd-Gap_1_t60s_E15_CARE_s20_0x382_w1618_h892_fliph_f48-117.1.roi,prd,heterozygote,lateral,left,TRUE,mid,CF,
prd-Gap_1_t60s_E16,prd-Gap_1_t60s_E16_CARE_s24_0x26_w1678_h964_flipn_f43-112.1.roi,prd,homozygote,lateral,left,TRUE,mid,EF,At CF position but no IC
rgap_1b_z3_t60s_E1,rgap_1b_z3_t60s_E1_s24_0x0_w1782_h920_fliph_f49-118.1.roi,wt,wildtype,lateral,left,TRUE,ant,EF,Checked. This is a small EF
rgap_1b_z3_t60s_E1,rgap_1b_z3_t60s_E1_s24_0x0_w1782_h920_fliph_f49-118.2.roi,wt,wildtype,lateral,left,TRUE,mid,CF,
rgap_1b_z3_t60s_E2,rgap_1b_z3_t60s_E2_s20_0x0_w1690_h920_flipn_f59-128.1.roi,wt,wildtype,lateral,left,TRUE,mid,CF,
rgap_1b_z3_t60s_E3,rgap_1b_z3_t60s_E3_s20_0x50_w1737_h890_fliph_f23-92.1.roi,wt,wildtype,lateral,left,TRUE,ant,EF,Checked. This is a proper EF
rgap_1b_z3_t60s_E3,rgap_1b_z3_t60s_E3_s20_0x50_w1737_h890_fliph_f23-92.2.roi,wt,wildtype,lateral,left,TRUE,mid,CF,
rgap_1b_z3_t60s_E3,rgap_1b_z3_t60s_E3_s20_0x50_w1737_h890_fliph_f23-92.3.roi,wt,wildtype,lateral,left,TRUE,post,EF,Checked. This is a proper EF
rgap_1b_z3_t60s_E4,rgap_1b_z3_t60s_E4_s18_0x40_w1737_h970_flipn_f38-107.1.roi,wt,wildtype,lateral,left,TRUE,ant,EF,Checked. This is a proper EF
rgap_1b_z3_t60s_E4,rgap_1b_z3_t60s_E4_s18_0x40_w1737_h970_flipn_f38-107.2.roi,wt,wildtype,lateral,left,TRUE,mid,CF,
rgap_1b_z3_t60s_E5,rgap_1b_z3_t60s_E5_s20_0x55_w1740_h905_fliph_f47-116.1.roi,wt,wildtype,lateral,left,FALSE,ant,EF,"Checked. This is not an EF, a few cells get hidden, but there’s barely a fold"
rgap_1b_z3_t60s_E5,rgap_1b_z3_t60s_E5_s20_0x55_w1740_h905_fliph_f47-116.2.roi,wt,wildtype,lateral,left,TRUE,mid,CF,
rgap_1b_z3_t60s_E5,rgap_1b_z3_t60s_E5_s20_0x55_w1740_h905_fliph_f47-116.3.roi,wt,wildtype,lateral,left,TRUE,post,EF,Checked. This is a proper EF
rgap_1b_z3_t60s_E6,rgap_1b_z3_t60s_E6_s19_0x50_w1683_h900_fliph_f47-116.1.roi,wt,wildtype,lateral,left,TRUE,ant,EF,Checked. This is a very small EF
rgap_1b_z3_t60s_E6,rgap_1b_z3_t60s_E6_s19_0x50_w1683_h900_fliph_f47-116.2.roi,wt,wildtype,lateral,left,TRUE,mid,CF,
rgap_1b_z3_t60s_E7,rgap_1b_z3_t60s_E7_s20_0x50_w1745_h940_fliph_f38-107.1.roi,wt,wildtype,lateral,left,TRUE,ant,EF,Checked. This is a borderline EF
rgap_1b_z3_t60s_E7,rgap_1b_z3_t60s_E7_s20_0x50_w1745_h940_fliph_f38-107.2.roi,wt,wildtype,lateral,left,TRUE,mid,CF,
rgap_1b_z3_t60s_E8,rgap_1b_z3_t60s_E8_s20_0x100_w1765_h990_fliph_f32-101.1.roi,wt,wildtype,lateral,left,FALSE,ant,EF,"Checked. This is not an EF, only one hidden cell"
rgap_1b_z3_t60s_E8,rgap_1b_z3_t60s_E8_s20_0x100_w1765_h990_fliph_f32-101.2.roi,wt,wildtype,lateral,left,TRUE,mid,CF,
rgap_1b_z3_t60s_E9,rgap_1b_z3_t60s_E9_s20_0x0_w1774_h1000_flipn_f44-113.1.roi,wt,wildtype,lateral,left,TRUE,mid,CF,
rgap_1b_z3_t60s_E11,rgap_1b_z3_t60s_E11_s20_0x80_w1738_h950_fliph_f38-107.1.roi,wt,wildtype,lateral,left,TRUE,ant,EF,"Checked. This is a proper EF, revised ROI (it was overestimated)"
rgap_1b_z3_t60s_E11,rgap_1b_z3_t60s_E11_s20_0x80_w1738_h950_fliph_f38-107.2.roi,wt,wildtype,lateral,left,TRUE,mid,CF,
rgap_1b_z3_t60s_E11,rgap_1b_z3_t60s_E11_s20_0x80_w1738_h950_fliph_f38-107.3.roi,wt,wildtype,lateral,left,TRUE,post,EF,
rgap_1b_z3_t60s_E12,rgap_1b_z3_t60s_E12_s20_0x40_w1809_h900_fliph_f37-106.1.roi,wt,wildtype,lateral,left,TRUE,mid,CF,
rgap_1b_z3_t60s_E13,rgap_1b_z3_t60s_E13_s22_0x40_w1765_h900_flipn_f32-101.1.roi,wt,wildtype,lateral,left,TRUE,mid,CF,
rgap_1b_z3_t60s_E14,rgap_1b_z3_t60s_E14_s20_0x30_w1733_h980_flipn_f34-103.1.roi,wt,wildtype,lateral,left,TRUE,ant,EF,Checked. This is a very small EF
rgap_1b_z3_t60s_E14,rgap_1b_z3_t60s_E14_s20_0x30_w1733_h980_flipn_f34-103.2.roi,wt,wildtype,lateral,left,TRUE,mid,CF,
rgap_1b_z3_t60s_E15,rgap_1b_z3_t60s_E15_s20_0x70_w1777_h980_fliph_f45-114.1.roi,wt,wildtype,lateral,left,TRUE,ant,EF,Checked. This is a borderline EF
rgap_1b_z3_t60s_E15,rgap_1b_z3_t60s_E15_s20_0x70_w1777_h980_fliph_f45-114.2.roi,wt,wildtype,lateral,left,TRUE,mid,CF,
rgap_1b_z3_t60s_E16,rgap_1b_z3_t60s_E16_s18_0x0_w1714_h950_flipn_f25-94.1.roi,wt,wildtype,lateral,left,TRUE,ant,EF,"Checked. This is a proper EF, revised ROI (it was overestimated)"
rgap_1b_z3_t60s_E16,rgap_1b_z3_t60s_E16_s18_0x0_w1714_h950_flipn_f25-94.2.roi,wt,wildtype,lateral,left,TRUE,mid,CF,
rgap_1b_z3_t60s_E16,rgap_1b_z3_t60s_E16_s18_0x0_w1714_h950_flipn_f25-94.3.roi,wt,wildtype,lateral,left,TRUE,post,EF,
rgap_1b_z3_t60s_E17,rgap_1b_z3_t60s_E17_s19_0x30_w1775_h950_flipn_f46-115.1.roi,wt,wildtype,lateral,left,TRUE,ant,EF,Checked. This is a proper EF
rgap_1b_z3_t60s_E17,rgap_1b_z3_t60s_E17_s19_0x30_w1775_h950_flipn_f46-115.2.roi,wt,wildtype,lateral,left,TRUE,mid,CF,
"Gap,stg[2]_2_z3_t50s_E1",,stg,homozygote,lateral,left,TRUE,mid,CF,
"Gap,stg[2]_2_z3_t50s_E1",,stg,homozygote,lateral,left,TRUE,post,EF,
"Gap,stg[2]_2_z3_t50s_E2",,stg,homozygote,lateral,left,TRUE,mid,CF,
"Gap,stg[2]_2_z3_t50s_E2",,stg,homozygote,lateral,left,TRUE,post,EF,
"Gap,stg[2]_2_z3_t50s_E3",,stg,homozygote,lateral,left,TRUE,mid,CF,
"Gap,stg[2]_2_z3_t50s_E4",,stg,heterozygote,lateral,left,TRUE,mid,CF,
"Gap,stg[2]_2_z3_t50s_E7",,stg,heterozygote,lateral,left,TRUE,mid,CF,
"Gap,stg[2]_2_z3_t50s_E7",,stg,heterozygote,lateral,left,TRUE,post,EF,
"Gap,stg[2]_2_z3_t50s_E8",,stg,heterozygote,lateral,left,TRUE,mid,CF,
"Gap,stg[2]_2_z3_t50s_E9",,stg,homozygote,lateral,left,TRUE,mid,CF,
"Gap,stg[2]_2_z3_t50s_E10",,stg,heterozygote,lateral,left,TRUE,mid,CF,
"Gap,stg[2]_2_z3_t50s_E11",,stg,homozygote,lateral,left,TRUE,mid,CF,
"Gap,stg[2]_2_z3_t50s_E12",,stg,homozygote,lateral,left,TRUE,mid,CF,
"Gap,stg[2]_2_z3_t50s_E13",,stg,heterozygote,lateral,left,TRUE,mid,CF,
"Gap,stg[2]_2_z3_t50s_E13",,stg,heterozygote,lateral,left,TRUE,post,EF,
"Gap,stg[2]_2_z3_t50s_E14",,stg,heterozygote,lateral,left,TRUE,mid,CF,
"Gap,stg[2]_2_z3_t50s_E15",,stg,heterozygote,lateral,left,TRUE,mid,CF,
"Gap,stg[2]_green_1_z3_t52_E1",,stg,heterozygote,lateral,left,TRUE,mid,CF,
"Gap,stg[2]_green_1_z3_t52_E2",,stg,heterozygote,lateral,left,TRUE,mid,CF,
"Gap,stg[2]_green_1_z3_t52_E3",,stg,heterozygote,lateral,left,TRUE,mid,CF,
"Gap,stg[2]_green_1_z3_t52_E4",,stg,heterozygote,lateral,left,TRUE,mid,CF,
"Gap,stg[2]_green_1_z3_t52_E5",,stg,heterozygote,lateral,left,TRUE,mid,CF,
"Gap,stg[2]_green_1_z3_t52_E6",,stg,heterozygote,lateral,left,TRUE,mid,CF,
"Gap,stg[2]_green_1_z3_t52_E6",,stg,heterozygote,lateral,left,TRUE,post,EF,
"Gap,stg[2]_green_1_z3_t52_E7",,stg,heterozygote,lateral,left,TRUE,ant,EF,
"Gap,stg[2]_green_1_z3_t52_E7",,stg,heterozygote,lateral,left,TRUE,mid,CF,
"Gap,stg[2]_green_1_z3_t52_E8",,stg,heterozygote,lateral,left,TRUE,mid,CF,
"Gap,stg[2]_green_1_z3_t52_E9",,stg,heterozygote,lateral,left,TRUE,mid,CF,
"Gap,stg[2]_green_1_z3_t52_E10",,stg,heterozygote,lateral,left,TRUE,mid,CF,
"Gap,stg[2]_green_1_z3_t52_E11",,stg,heterozygote,lateral,left,TRUE,mid,CF,
"Gap,stg[2]_green_1_z3_t52_E11",,stg,heterozygote,lateral,left,TRUE,post,EF,
"Gap,stg[2]_green_1_z3_t52_E12",,stg,heterozygote,lateral,left,TRUE,mid,CF,
"Gap,stg[2]_green_1_z3_t52_E13",,stg,heterozygote,lateral,left,TRUE,mid,CF,
"Gap,stg[2]_green_1_z3_t52_E14",,stg,homozygote,lateral,left,TRUE,mid,CF,
"Gap,stg[2]_green_1_z3_t52_E15",,stg,heterozygote,lateral,left,TRUE,mid,CF,
"Gap,stg[2]_green_1_z3_t52_E16",,stg,homozygote,lateral,left,TRUE,mid,CF,
btd-gap-stg_1_z3_t45s_E3,,btd-stg,btd homozygote,lateral,left,,,,
btd-gap-stg_1_z3_t45s_E8,,btd-stg,double heterozygote,lateral,left,,,,
btd-gap-stg_1_z3_t45s_E9,,btd-stg,double homozygote,lateral,left,,,,
btd-gap-stg_1_z3_t45s_E12,,btd-stg,btd homozygote,lateral,left,,,,
btd-gap-stg_3_z3_t53s_E2,,btd-stg,btd homozygote,lateral,left,,,,
btd-gap-stg_3_z3_t53s_E3,,btd-stg,double heterozygote,lateral,left,,,,
btd-gap-stg_3_z3_t53s_E11,,btd-stg,btd homozygote,lateral,left,,,,
btd-gap-stg_3_z3_t53s_E12,,btd-stg,double heterozygote,lateral,left,,,,
btd-gap-stg_3_z3_t53s_E13,,btd-stg,double heterozygote,lateral,left,,,,
btd-gap-stg_3_z3_t53s_E14,,btd-stg,double heterozygote,lateral,left,,,,
btd-gap-stg_4_z3_t59s_E1,,btd-stg,double heterozygote,lateral,left,,,,
btd-gap-stg_4_z3_t59s_E3,,btd-stg,double heterozygote,lateral,left,,,,
btd-gap-stg_4_z3_t59s_E4,,btd-stg,double heterozygote,lateral,left,,,,
btd-gap-stg_4_z3_t59s_E6,,btd-stg,double heterozygote,lateral,left,,,,
btd-gap-stg_4_z3_t59s_E7,,btd-stg,btd homozygote,lateral,left,,,,
btd-gap-stg_4_z3_t59s_E8,,btd-stg,btd homozygote,lateral,left,,,,
btd-gap-stg_4_z3_t59s_E10,,btd-stg,btd homozygote,lateral,left,,,,
btd-gap-stg_4_z3_t59s_E11,,btd-stg,double heterozygote,lateral,left,,,,
btd-gap-stg_4_z3_t59s_E13,,btd-stg,double heterozygote,lateral,left,,,,
btd-gap-stg_4_z3_t59s_E14,,btd-stg,double heterozygote,lateral,left,,,,
btd-gap-stg_4_z3_t59s_E16,,btd-stg,double heterozygote,lateral,left,,,,
btd-gap-stg_7_z3_60s_E1,,btd-stg,double homozygote,lateral,left,,,,
btd-gap-stg_7_z3_60s_E2,,btd-stg,double heterozygote,lateral,left,,,,
btd-gap-stg_7_z3_60s_E3,,btd-stg,double homozygote,lateral,left,,,,
btd-gap-stg_7_z3_60s_E5,,btd-stg,double heterozygote,lateral,left,,,,
btd-gap-stg_7_z3_60s_E6,,btd-stg,btd homozygote,lateral,left,,,,
btd-gap-stg_7_z3_60s_E16,,btd-stg,btd homozygote,lateral,left,,,,
btd-gap-stg_7_z3_60s_E17,,btd-stg,double heterozygote,lateral,left,,,,
btd-gap-stg_7_z3_60s_E18,,btd-stg,btd homozygote,lateral,left,,,,
btd-gap-stg_7_z3_60s_E19,,btd-stg,double heterozygote,lateral,left,,,,
btd-gap-stg_7_z3_60s_E20,,btd-stg,btd homozygote,lateral,left,,,,
btd-gap-stg_8_z3_45s_E3,,btd-stg,btd homozygote,lateral,left,,,,
btd-gap-stg_8_z3_45s_E8,,btd-stg,stg homozygote,lateral,left,,,,
